Kinase	TCGA-13-1484	TCGA-13-1489	TCGA-13-1494	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-25-1316	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1762	TCGA-29-1763	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1907	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2095	TCGA-61-2612
CDK2	-0.43686522724189397	-0.7604567026772642	-0.40770407152268323	-0.6560994435677406	-0.3576862215176669	0.5541635859701147	0.07378328632478634	-0.14145144264680234	-0.44706930961792113	0.2323405622730575	-0.3587483389865344	-0.06906382071632071	0.045882232442036645	0.25487528696127987	-0.1626338253688371	0.06952516256539391	-0.48750579496294244	0.22957070863251286	-0.2748744902203615	-0.2798685517203203	0.053554647690243144	-0.13812105881155878	-0.9349384853459904	-0.08998574858627215	-0.5759778812476554	-0.11155562820313307	0.057584975895201396	0.07312891808039457	-0.13119816132139464	0.20944366032908882	-0.039999638024042584	0.1757813143569098	-0.17357144441645603	-0.4401291791708924	0.2243188768511083	-0.2210276553613685	-0.28684309077146547	0.23781995362794667	0.12453002371541211	-0.22247211023440705	-0.4597430946275949	0.25598994972347916	-0.7013465017636688	0.010053721152050523	0.2014349411884411	-0.39681001584502756	0.20208044514899973	0.06263802915479584	0.07172880318623169	-0.13599658642488327	-0.4111000140753738	-0.2538138902010378	-0.2630580843847512	-0.06795871303871971	0.847980140199669	-0.25103062538519677	-0.2239449854584569	0.04422139256083056	0.12242665259129291	-0.0064582215176669094	-0.07110041726613052	-0.4957359407725028	0.18771993391670058	0.22854947680097681	0.1635506410934745	0.0010153441866775491	-0.23007912829627578	-0.7985503112874778	0.20543987046134696
ATM	0.18275000000000002	0.16990000000000005	-0.7692509803921569	-0.7474787499999999	-0.13825098039215686	-0.08700098039215683	-0.013500000000000012	-0.7077499999999999	-0.07450098039215686	-0.11452875000000001	0.048349999999999976	0.431175	-0.28750000000000003	-0.31200000000000006	-0.012500980392156885	-1.1185009803921566	0.14400000000000002	0.10660000000000003	0.28774901960784316	0.20524901960784314	0.23772125000000002	0.50225	0.09672125000000001	0.011774019607843154	0.3499	0.8032212500000001	-0.93625	-0.004500980392156878	0.03824999999999995	-0.32925	0.37572125000000006	0.3407212500000001	-0.2735259803921568	-0.0365	0.3862490196078431	-0.10529999999999998	-0.07975000000000002	0.12800000000000003	0.12899901960784313	-0.05012874999999998	0.24975	-0.1595	0.229	0.26849999999999996	-0.08142500000000001	0.3364990196078431	-0.00632598039215685	0.3925	-0.19274999999999998	-0.14577874999999998	0.31875	-0.41574999999999995	-0.472175	0.1713	0.0743	-0.24627900000000003	-0.6137509803921568	0.12775	-0.7007999999999999	0.10139901960784314	0.13425	0.12675	-0.5955	0.014049999999999993	-0.46170000000000005	-0.01720000000000002	-0.06499999999999997	-0.7934999999999999	0.05914901960784316
AKT2	-1.2320300595238096	-2.5704192708333333	-0.25308839285714285	-1.3566833333333332	-0.07526755952380952	0.07787499999999997	-0.3614	-0.8744365410052911	-0.2294008928571428	-0.278875	0.20027239583333337	-0.33553148148148154	0.04014739583333337	-0.29189255952380955	0.20669095899470902	0.6890749999999999	0.24362499999999998	0.002147395833333343	-0.518375	-0.870725	0.01208585482804235	0.030718518518518534	0.16675	-0.44783839285714283	-0.6568826636904761	0.76075	-1.0969326636904764	-0.964213392857143	-0.03938408564814812	-1.3191026041666665	-0.12003914517195764	-0.19953914517195764	-0.445311541005291	0.24764739583333337	-0.36650000000000005	0.4151473958333333	0.25974233630952376	0.03859494047619049	0.23591160714285717	0.5384416666666667	-0.07299999999999998	-0.3716249999999999	0.4757778409090909	-0.112175	-0.35078148148148147	-0.39708654100529106	-0.5210675595238096	0.34174091435185183	-0.8782901041666666	0.08179166666666667	-0.079136541005291	-0.127225	0.0639699404761905	-0.15911755952380952	0.2607875	-0.38359010416666667	-1.2456250000000002	0.29770572916666665	-0.504311541005291	-0.34873005952380953	0.7271473958333334	-0.8623317708333335	-0.1392590856481481	-1.171625	0.6164028409090908	-1.1711175595238095	-0.7896125	-0.6538471590909091	0.11194910714285718
ABL1	-1.3066666666666664	-1.9639999999999997	-0.3596666666666666	-0.1968119913419912	-1.0786666666666667	0.10999999999999997	-1.1593333333333333	-0.8061333333333334	-0.1103333333333333	-0.19266666666666665	0.3296666666666666	-0.2316666666666666	-1.9666666666666668	-0.5493333333333333	-0.18966666666666668	-0.5620000000000002	-0.576	0.4478666666666667	0.5933333333333334	-0.6626666666666666	-0.1222126984126984	-0.7760000000000001	-0.48300000000000004	0.36733333333333335	-0.36433333333333334	-0.42	1.274333333333333	0.05833333333333331	0.19266666666666668	-0.4713333333333332	-1.172879365079365	-0.4808793650793651	-0.012220000000000002	0.009333333333333305	0.5666666666666667	0.20633333333333334	-0.226	0.24006666666666668	0.5584666666666668	-0.1968119913419912	-0.9866666666666667	-0.08133333333333333	0.060000000000000005	-1.178	0.6126666666666667	-0.21766666666666667	0.5153333333333333	0.12266666666666663	0.19933333333333336	-0.1968119913419912	0.32799999999999996	0.6041	0.6263333333333333	0.5263333333333334	-1.1453333333333333	-0.40633333333333327	-1.1933333333333334	0.6610333333333334	-0.6960000000000001	-0.06000000000000002	1.57	-0.0038000000000000013	-0.06166666666666667	0.057666666666666644	-0.26333333333333336	0.32566666666666666	-0.34900000000000003	-1.1353333333333333	-0.13099999999999998
IRAK4	0.6927500000000001	-0.9934338760504202	-0.20452361964016375	-0.6309338760504202	-0.2270897435897436	0.932	-0.2473397435897436	-0.669886274509804	-0.12167361964016375	0.68425	-0.3824760180995475	-0.22033974358974362	-0.3339760180995475	0.04871220238095238	0.33014745879120877	0.22951118428140482	-0.5000897435897436	-0.1088510180995475	1.2702499999999999	0.12676118428140487	-0.12840989414996767	0.1595602564102564	0.534575	0.08317984943977592	-0.060262797619047626	-0.21707500000000002	-0.27026279761904765	-0.04607015056022408	0.011724999999999985	-0.6445108220211162	-0.12840989414996767	-0.12840989414996767	0.11139745879120878	-0.33775	-0.12623881571859513	-0.5846250000000001	0.06723720238095238	-0.17976279761904762	0.08322638035983623	0.16181612394957984	-0.4798397435897436	-0.15975	-0.790886274509804	-0.42374999999999996	0.2381602564102564	-0.8321025412087912	-0.48433974358974363	-0.15025	-0.7595108220211162	-0.67843387605042	-0.7463862745098039	-0.1724272435897436	-0.9359999999999999	-0.031187797619047636	0.31725	-0.07428582202111614	-0.4726	-0.0034338760504201565	-0.6008862745098039	0.7061602564102565	0.355	-0.3604338760504202	-0.242225	0.2569102564102564	0.24961372549019606	0.5439	-0.2630397435897436	-0.878636274509804	-0.02157015056022407
PAK1	-1.2610307692307694	-1.3451429551421712	0.014976377874606614	-0.7738330009496678	-0.03859560032560033	-0.2639847644850912	-0.09426262108262107	0.09267503323836658	-0.21641728879205996	-0.04402700538144982	0.3704220892687559	-0.06441780626780634	0.31619245963912634	0.4125153909465021	0.1355116872427984	0.4120788065843621	0.13893124238869337	0.3063261633428302	0.26869671699639014	-0.8682915637860084	0.071254957898069	-0.26347150997151014	-0.28070848686293143	0.3627746502057613	-0.14993626581648806	0.15769151313706867	-0.8261214510016734	-0.18981423868312758	0.3302607312440646	-0.4027911206077872	0.293854957898069	0.503780883823995	-0.27085497942386827	0.18620046637458398	0.042634362139917684	0.17934491081902845	-0.07790293248315472	-0.21481053497942396	0.394519748244977	0.054700332383665715	-0.6320307692307694	-0.32207891737891736	-0.13090528182783093	-0.5374752136752137	-0.18663447293447288	-0.2504105349794239	0.028522918192918193	0.6297325830959166	-0.3691171206077873	0.1320188509021842	0.12968614434947764	0.009383094240545233	0.037324786324786335	-0.05097349794238684	0.24435811965811963	0.18151073124406455	-0.1598218015221283	-0.42977258477180047	-0.2886249667616335	-0.10547967439967444	0.2020286145227322	-0.49099480699402276	0.45019776828110153	-0.5722233618233619	0.19907249594994691	-0.3606529914529914	-0.4519465353890844	-0.8473126892352383	0.12689316872427983
PAK2	-0.961	-0.9606666666666667	0.17728555555555556	-0.4326666666666667	0.05428555555555551	-0.007966666666666669	-0.007353333333333333	-0.21253031746031747	-0.20838111111111113	-0.6003333333333333	-0.15601444444444448	-0.012333333333333344	-0.3210477777777778	-0.27404777777777783	-0.10371444444444448	-0.2316666666666667	-0.2633811111111111	-0.3560477777777778	-0.25733333333333336	-0.9109999999999999	-0.21253031746031747	-0.1998	-0.18356666666666668	-0.21871444444444446	-0.6760477777777778	0.312	0.014952222222222181	-0.02871444444444445	-0.06880000000000001	-0.28700000000000003	-0.21253031746031747	-0.21253031746031747	-0.02704777777777778	-0.17678111111111114	-0.614	-0.31071444444444446	-0.00971444444444447	-0.11504777777777779	-0.1060477777777778	-0.1462	-0.44300000000000006	0.21366666666666667	-0.03400000000000003	0.40973333333333334	-0.18839999999999998	-0.2563811111111111	-0.1010477777777778	-0.10053333333333332	-0.17833333333333334	-0.7976666666666667	-0.21253031746031747	-0.3483811111111111	0.3263666666666667	-0.30204777777777775	-0.084	0.30693333333333334	-1.2369999999999999	0.20366666666666666	-0.21253031746031747	-0.15261444444444447	-0.17688111111111113	-0.453	-0.36533333333333334	-0.23233333333333336	0.24300000000000002	0.11323333333333334	-0.44938111111111106	-0.4226666666666667	-0.20838111111111113
SRC	-1.201143153846154	-2.0990091215277777	-1.2632623824786329	-1.7805319762286325	-0.430036153846154	-1.0154729912587412	-0.2620977777777778	-0.1501519762286325	0.062407617521367496	0.02560699999999997	0.06580748317307693	0.8214500000000001	-0.12140951682692307	0.4535018461538464	-0.6004796047008549	-0.3586326816239317	-0.8291929999999998	0.28456548317307695	-0.9551429912587415	-0.6513626816239315	-0.35914238247863234	-0.4048399999999999	-1.0916430000000001	0.06231384615384612	-0.5455091215277779	-0.16092749999999972	-0.4437091215277782	0.6521638461538459	-0.21914345085470086	-0.12659604460470084	-0.6314423824786324	-0.5702423824786325	-0.14167960470085478	-1.1730995168269234	-0.9136176816239321	-0.23560451682692304	0.6294608784722222	-0.4861431538461537	-0.3592923824786324	-0.40008197622863245	-0.3311627777777778	-0.31450000000000006	-0.3284265277777777	-0.055199999999999985	-0.06716499999999997	-0.4259696047008548	-0.2608361538461538	-0.19709345085470087	-0.9420260446047009	-1.0927319762286325	-0.7289819762286326	-0.47219300000000003	-0.7423431538461535	0.20962684615384627	0.9378	-0.47107604460470076	-0.21652799125874136	0.46364087847222224	-0.24903197622863243	-0.16863615384615377	-0.057969516826923015	-0.33985912152777775	-0.20439345085470087	0.09570172222222231	-0.014696527777777768	-0.2967431538461538	-0.658643	-0.8921765277777778	-0.3626061538461537
PDK1	-0.307	1.03	-0.08017894736842103	-0.8609999999999999	-0.08017894736842103	0.63	-0.0217	0.295	-0.08017894736842103	-0.4539999999999999	0.767	0.413	0.7040000000000001	-0.08017894736842103	-0.08017894736842103	-1.11	-0.65	0.532	-0.35800000000000004	1.0	0.606	1.2	-0.738	0.66	-0.214	-0.7879999999999999	-0.503	0.317	-0.544	-0.13699999999999998	0.26500000000000007	0.511	-0.08017894736842103	0.151	0.0742	-0.442	-1.0999999999999999	-0.08017894736842103	-0.08017894736842103	-1.7899999999999998	0.7190000000000002	0.18399999999999997	-0.7490000000000001	1.3	0.503	-0.08017894736842103	-0.08017894736842103	-0.39999999999999997	-0.7400000000000001	-2.01	-0.133	-0.682	-1.2	-0.08017894736842103	0.747	-1.21	-0.963	-0.0147	0.167	-0.08017894736842103	-0.11900000000000001	0.7400000000000001	-0.466	0.113	-0.151	0.924	0.9800000000000001	-0.19699999999999998	-1.05
CDK4	-0.046099999999999995	-1.855857142857143	-1.2575296296296297	-0.8822361904761904	-0.42085714285714293	0.25883047619047617	0.1590571428571428	-0.2780409523809524	-1.0172439153439155	-0.8027811904761906	-1.5491200000000003	0.33955714285714284	-0.28354857142857137	0.23157333333333338	-0.29255629629629626	-0.07076952380952382	-0.6004649130763416	0.26342285714285724	-0.10031238095238094	-0.049812380952380955	-0.1437013416477703	0.7517142857142858	-0.730209761904762	-1.1845571428571429	-1.1081714285714284	-0.06908119047619049	-0.3695714285714286	0.36528571428571427	-0.21531547619047622	0.6037638095238096	-0.2049870559334846	-0.12470134164777032	-0.04284201058201059	-1.9848153439153438	0.2695447619047619	0.13977608465608463	0.4311428571428571	0.19454476190476191	0.21061322751322753	-0.2790933333333333	-0.5901428571428571	1.220857142857143	-1.4206647619047619	0.31351428571428575	0.7862857142857144	-0.35355629629629626	-0.6751142857142856	-0.29618690476190473	-0.04452190476190477	-0.6945219047619048	-0.4691695238095238	-0.6006077702191989	-0.971142857142857	-0.2925980952380952	0.4648999999999998	0.2088495238095238	0.008459047619047652	0.33761428571428576	0.47811619047619053	0.04714285714285711	-0.05560105820105821	-0.8682	-1.0014726190476189	0.2454285714285715	0.06519238095238096	-0.5938571428571428	-0.39160777021919885	-0.8733790476190476	-0.05517142857142859
