MET	STAT3
FES	STAT3
PTPN11	STAT3
STAP2	STAT3
BMX	STAT3
NMI	STAT3
MYOD1	STAT3
GTF2I	STAT3
KHDRBS1	STAT3
PRKCD	STAT3
TSHR	STAT3
PDIA3	STAT3
SYK	STAT3
RET	STAT3
FOXM1	STAT3
IL2RA	STAT3
TRIP10	STAT3
EIF2AK2	STAT3
FER	STAT3
IL2RB	STAT3
IFNAR1	STAT3
IL6R	STAT3
NLK	STAT3
EPHA5	STAT3
PTPN2	STAT3
IL1RAP	STAT3
TSLP	STAT3
IL23R	STAT3
ELP2	STAT3
ZNF467	STAT3
NDUFA13	STAT3
ARD1A	NAT1
NAT1	ARD1A
CDC25A	ARD1A
EHMT2	ARD1A
KLK3	SERPINA3
LRP1	SERPINA3
CELA1	SERPINA3
ELANE	SERPINA3
KLK2	SERPINA3
DNAJC1	SERPINA3
F5	SERPINA3
APP	SERPINA3
CMA1	SERPINA3
CTRB1	SERPINA3
CTRL	SERPINA3
CTSG	SERPINA3
ERBB2	SERPINA3
POLA1	SERPINA3
MST1	SERPINA3
LRP1	ELANE
SERPINA3	ELANE
KNG1	ELANE
SERPINA1	ELANE
ELN	ELANE
SERPING1	ELANE
THBS1	ELANE
SERPINF2	ELANE
SERPINB13	ELANE
SDC1	ELANE
SERPINB1	ELANE
NOTCH2NL	ELANE
SERPINE1	ELANE
SLPI	ELANE
SERPINA3	KLK2
SERPINA5	KLK2
POLR2A	KLK2
AR	KLK2
SERPINF2	KLK2
SERPINB6	KLK2
SERPINA4	KLK2
HSPA5	DNAJC1
SERPINA3	DNAJC1
BAT5	DNAJC1
SERPINA3	F5
CTSG	F5
CALR	F5
F2	F5
PROS1	F5
PROC	F5
F10	F5
EPR1	F5
APOE	APP
LRP1	APP
SERPINA3	APP
ABL1	APP
GRB2	APP
SHC1	APP
NCSTN	APP
APBB1	APP
ACHE	APP
COL4A1	APP
LAMA1	APP
HGS	APP
GSN	APP
BCAP31	APP
KAT5	APP
TGFB1	APP
CAV1	APP
NUMB	APP
DAB2	APP
FBLN1	APP
MAPK8IP1	APP
SHC3	APP
CASP4	APP
CASP8	APP
APBA1	APP
PSEN2	APP
PSEN1	APP
APBA2	APP
CLSTN1	APP
APBB2	APP
HTRA2	APP
APBB3	APP
DAB1	APP
CALR	APP
BGN	APP
F12	APP
NAE1	APP
SNCB	APP
SNCA	APP
HSD17B10	APP
APPBP2	APP
APBA3	APP
BLMH	APP
KLC1	APP
COL25A1	APP
KNG1	APP
COL4A6	APP
HMOX2	APP
COL4A5	APP
NID1	APP
HADHB	APP
TP53BP2	APP
COL1A2	APP
COL4A3	APP
COL4A2	APP
GAPDH	APP
PRSS2	APP
PRSS3	APP
TGFB2	APP
IDE	APP
HSPG2	APP
SPON1	APP
LRP1B	APP
TM2D1	APP
SERPINA3	CMA1
SERPINA3	CTRB1
SERPINA1	CTRB1
SERPINF2	CTRB1
SERPINA3	CTRL
LRP1	CTSG
SERPINA3	CTSG
F5	CTSG
CASP7	CTSG
KNG1	CTSG
SERPINA1	CTSG
THBS1	CTSG
CAMP	CTSG
SERPINB13	CTSG
SDC1	CTSG
GP1BA	CTSG
F2RL2	CTSG
PPBP	CTSG
STAT3	ERBB2
SERPINA3	ERBB2
GRB2	ERBB2
SHC1	ERBB2
SOS1	ERBB2
PIK3R1	ERBB2
PLCG1	ERBB2
SRC	ERBB2
PICK1	ERBB2
CTNNB1	ERBB2
DLG4	ERBB2
PTK2	ERBB2
UBC	ERBB2
CAV1	ERBB2
AGTR2	ERBB2
JAK2	ERBB2
ERBB3	ERBB2
HSP90AA1	ERBB2
PAK1	ERBB2
NF2	ERBB2
H3F3A	ERBB2
ITGB4	ERBB2
EGFR	ERBB2
JUP	ERBB2
MUC1	ERBB2
HSP90B1	ERBB2
NCOA3	ERBB2
CDC37	ERBB2
NCOR1	ERBB2
IL6ST	ERBB2
ERBB2IP	ERBB2
ELF3	ERBB2
PIK3R2	ERBB2
HLA-A	ERBB2
CD82	ERBB2
PTPN11	ERBB2
BTC	ERBB2
ERBB4	ERBB2
GRB7	ERBB2
PTK2B	ERBB2
CD44	ERBB2
MATK	ERBB2
ERRFI1	ERBB2
DDX10	ERBB2
NRG1	ERBB2
EGF	ERBB2
SH3BGRL	ERBB2
OSMR	ERBB2
MMP16	ERBB2
TP53RK	ERBB2
TOB1	ERBB2
MUC4	ERBB2
SERPINA3	POLA1
RB1	POLA1
TP53	POLA1
PARP1	POLA1
POLA2	POLA1
XRCC5	POLA1
CDK2AP1	POLA1
CDK2	POLA1
POLD1	POLA1
CDC45L	POLA1
POLE	POLA1
RBMS1	POLA1
HELB	POLA1
SERPINA3	MST1
MST1R	MST1
YWHAZ	AANAT
AANAT	YWHAZ
BCR	YWHAZ
BCAR1	YWHAZ
XRCC6	YWHAZ
TP53	YWHAZ
CBL	YWHAZ
RIN1	YWHAZ
TSC1	YWHAZ
VIM	YWHAZ
PRKCE	YWHAZ
PRKCA	YWHAZ
SSH1	YWHAZ
SSH2	YWHAZ
CLIC4	YWHAZ
PRKCZ	YWHAZ
ADRA2A	YWHAZ
ADRA2B	YWHAZ
ADRA2C	YWHAZ
PDC	YWHAZ
AKT1	YWHAZ
IRS1	YWHAZ
RAF1	YWHAZ
BRAF	YWHAZ
MAPKAPK2	YWHAZ
BAD	YWHAZ
TSC2	YWHAZ
TERT	YWHAZ
EGFR	YWHAZ
HNRNPL	YWHAZ
MAP3K2	YWHAZ
MAPT	YWHAZ
KLC1	YWHAZ
PTPN13	YWHAZ
FOXO1	YWHAZ
CDC25B	YWHAZ
HDAC4	YWHAZ
PABPC4	YWHAZ
ARHGEF2	YWHAZ
NOLC1	YWHAZ
MAP3K5	YWHAZ
IRS2	YWHAZ
MAP3K3	YWHAZ
KIAA1377	YWHAZ
PRKCI	YWHAZ
DFFA	YWHAZ
LIMK1	YWHAZ
PCTK1	YWHAZ
RPL31	YWHAZ
PRKD1	YWHAZ
PRKCD	YWHAZ
REM1	YWHAZ
LYST	YWHAZ
RRAD	YWHAZ
TNFAIP3	YWHAZ
KRT18	YWHAZ
IGF1R	YWHAZ
CDC25C	YWHAZ
CDC25A	YWHAZ
SF3B1	YWHAZ
EPB41L3	YWHAZ
PAK4	YWHAZ
FOXO3	YWHAZ
NFATC2	YWHAZ
NFATC4	YWHAZ
CSF2RB	YWHAZ
TJP2	YWHAZ
GP1BA	YWHAZ
ADAM22	YWHAZ
KIF5B	YWHAZ
NADK	YWHAZ
RGS3	YWHAZ
PFKFB2	YWHAZ
RALGPS2	YWHAZ
USP8	YWHAZ
GP1BB	YWHAZ
MLF1	YWHAZ
TPH1	YWHAZ
HMGN1	YWHAZ
IL9R	YWHAZ
INPP5A	YWHAZ
SSH3	YWHAZ
NCKAP1	YWHAZ
TRA2B	YWHAZ
TH	YWHAZ
SYN2	YWHAZ
UCP2	YWHAZ
UCP3	YWHAZ
LARP1	YWHAZ
RAI14	YWHAZ
SAMD4B	YWHAZ
EDC3	YWHAZ
KIF1C	YWHAZ
C22orf9	YWHAZ
KLC4	YWHAZ
BSPRY	YWHAZ
EEF1B2	AARS
AARS	EEF1B2
EEF1G	EEF1B2
EEF1A2	EEF1B2
TIMP1	EEF1B2
VARS	EEF1B2
HARS	EEF1B2
ALDH5A1	ABAT
ABAT	ALDH5A1
CREBBP	ABCA1
SNTB2	ABCA1
PRPF8	ABCA1
AOX1	ABCA1
SDHB	ABCA1
UGP1	ABCA1
APOA1	ABCA1
FADD	ABCA1
XPC	ABCA1
STAT3	CREBBP
ABCA1	CREBBP
CREB1	CREBBP
XRCC6	CREBBP
TP53	CREBBP
BRCA1	CREBBP
YWHAH	CREBBP
CDX2	CREBBP
CTNNB1	CREBBP
RPA2	CREBBP
TNFSF10	CREBBP
SMARCA4	CREBBP
SMARCB1	CREBBP
ING1	CREBBP
EWSR1	CREBBP
POLR2A	CREBBP
SMAD1	CREBBP
SMAD2	CREBBP
SMAD3	CREBBP
NR3C1	CREBBP
MYBL2	CREBBP
RELA	CREBBP
NCOA6	CREBBP
CDKN1A	CREBBP
STAT1	CREBBP
HTT	CREBBP
ESR1	CREBBP
HNF1A	CREBBP
AR	CREBBP
JUN	CREBBP
FOS	CREBBP
SREBF1	CREBBP
NCOA1	CREBBP
FOXO4	CREBBP
CSNK2A1	CREBBP
KAT2B	CREBBP
H3F3A	CREBBP
HIST4H4	CREBBP
CUX1	CREBBP
CTBP1	CREBBP
AIRE	CREBBP
HIF1A	CREBBP
HIST3H3	CREBBP
SERTAD1	CREBBP
E2F3	CREBBP
E2F1	CREBBP
DAXX	CREBBP
MLL	CREBBP
CCND1	CREBBP
NCOA3	CREBBP
PIAS3	CREBBP
PELP1	CREBBP
FOXO1	CREBBP
CDC25B	CREBBP
TDG	CREBBP
HNF4A	CREBBP
PHOX2A	CREBBP
PML	CREBBP
NPAS2	CREBBP
CSNK2A2	CREBBP
CSK	CREBBP
ATF1	CREBBP
ATF4	CREBBP
GTF2B	CREBBP
NFE2L2	CREBBP
ATF2	CREBBP
RPS6KA1	CREBBP
BCL3	CREBBP
BNIP3L	CREBBP
N4BP2	CREBBP
MED21	CREBBP
CDK8	CREBBP
RBBP7	CREBBP
RBBP4	CREBBP
KLF5	CREBBP
MYOD1	CREBBP
KHDRBS1	CREBBP
TCF3	CREBBP
NKX2-1	CREBBP
SREBF2	CREBBP
PAX5	CREBBP
TCF12	CREBBP
KLF13	CREBBP
PTMA	CREBBP
CCNC	CREBBP
SRF	CREBBP
MAML1	CREBBP
DDX5	CREBBP
MYB	CREBBP
HSF1	CREBBP
EGR1	CREBBP
STAT6	CREBBP
GATA1	CREBBP
MBD2	CREBBP
MAFG	CREBBP
KLF4	CREBBP
JDP2	CREBBP
RPS6KA2	CREBBP
STAT2	CREBBP
NFATC2	CREBBP
NUP98	CREBBP
CITED2	CREBBP
GLI3	CREBBP
MSX1	CREBBP
