Proteins	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
'A0A024R492'	1.104964485	1.101141598	0.97063447	0.860352631	0.759962428	0.983502074	1.074749173	0.924663278	1.102669163	0.986232704	0.968618189	0.993781093	1.0132569	1.094293701	1.008352455	0.991716731	1.049716684	1.049716684
'A0A024R566'	1.002776436	1.011152081	1.00695555	0.880259014	0.832775771	0.960594864	1.054822317	0.948026965	1.115739322	1.187559666	1.104198847	1.142346247	0.871154192	1.074749173	0.991716731	1.160703914	1.231144413	1.199139914
'A0A024R968'	1.018891197	1.020304659	1.001387256	1.082224645	1.058484395	1.026689546	1.025978145	0.946713631	0.980099415	1.068805991	0.946713631	0.995849753	0.968618189	0.969289817	0.878430468	1.020304659	0.985549337	1.01395948
'A0A024RB22'	0.953959551	0.989656656	1.209155676	0.829319546	0.733566672	0.950659101	1.223488041	1.105730653	1.249196126	1.124278924	1.031683179	1.017479692	1.011853201	1.00556058	1.223488041	0.953298545	0.996540263	0.922103118
'A0A024RB77'	0.942784536	1.000693387	1.055553718	0.979420298	0.975355462	1.000693387	1.196648963	1.094293701	1.099616149	1.059952783	1.025267238	0.951977908	0.959929261	0.961927455	0.926588062	0.988970916	0.963261894	0.984866443
'A0A024RBE7'	1.068805991	1.030968319	0.971307496	1.016070143	0.984866443	0.971307496	0.953959551	0.89564567	0.949342121	1.053361036	0.944747041	0.929804943	1.00695555	1.016774673	0.951977908	0.986232704	0.941478465	0.957271458
'A0A024RCJ0'	0.990342872	0.938871747	0.949342121	1.02313747	1.065108203	0.998614666	1.001387256	0.991029563	0.994470169	1.167967395	0.957271458	1.002776436	1.059218335	1.009751298	0.924663278	1.046810282	0.976708529	1.00486382
'A0A024RDK3'	1.060687741	1.042465761	0.976031761	1.044635763	1.049716684	1.021012126	0.934327347	1.01395948	0.980099415	1.085229372	1.158292806	1.048989328	1.018891197	1.022428531	1.060687741	0.991716731	1.053361036	1.043911927
'A0A087WZA1'	1.112650121	1.322254605	1.2397077	1.038859103	0.814507563	0.904379378	1.104964485	0.918912883	0.925304428	1.069547088	1.186736798	1.196648963	1.047536127	0.872362706	0.995849753	1.017479692	0.955282936	0.988970916
'A0A087WZU1'	1.088242442	1.136816973	1.071030823	1.289668251	1.178539408	0.995849753	0.959929261	0.992404375	0.927230546	1.146312186	1.400556321	1.180992661	0.957271458	1.159095952	1.215036792	1.203303026	1.35754498	1.22603486
'A0A0A0MR66'	1.071773463	1.0132569	1.069547088	1.07997656	1.078480432	1.028113827	0.982139595	0.952637998	0.851453708	0.965267025	0.981459064	0.974004269	0.993092495	0.985549337	0.898755127	0.975355462	1.039579435	1.054091423
'A0A0A0MST0'	0.982820599	1.012554807	0.984184022	1.081474763	1.068065408	1.123499903	1.041743429	0.976708529	1.00556058	1.118837101	1.082224645	1.060687741	1.022428531	1.030253954	1.025267238	0.979420298	1.048262476	1.048989328
'A0A0A0MT35'	0.949342121	1.026689546	1.044635763	0.96727633	0.977385766	1.132098902	0.992404375	0.984866443	1.011853201	0.932386486	0.934975198	1.00556058	0.997922719	1.024556823	1.069547088	1.067325338	1.057018041	1.07997656
'A0A0A6YYL4'	1.015366101	0.987600861	0.984184022	0.984184022	1.016774673	1.011853201	1.032398535	1.021012126	1.064370182	1.035982764	1.0238469	1.009051634	0.980779004	1.028826708	1.038859103	1.024556823	1.036701101	1.010451446
'A0A0S2Z4Y4'	1.050444544	1.133669413	0.993781093	1.108800644	1.062159186	1.064370182	0.899378312	0.927873476	0.953959551	1.043911927	1.110338834	1.071030823	1.046810282	1.003471749	1.034547582	0.980779004	0.891928519	0.977385766
'A0A0S2Z4Z0'	1.078480432	1.121943481	1.021720083	0.986916546	0.923382311	1.0132569	1.068805991	0.951977908	1.034547582	1.024556823	1.092020546	1.040300267	1.024556823	1	1.056285625	0.891310496	0.90000193	0.951977908
'A16A1'	1.022428531	1.021012126	0.991029563	1.085229372	0.997922719	0.84323111	0.953298545	0.918276162	0.987600861	1.00765376	1.0181852	1.010451446	0.984184022	0.993781093	0.960594864	0.997922719	0.995159722	1.038139271
'A16L1'	0.992404375	0.951318276	0.956608158	0.995849753	0.971307496	0.986916546	0.922742493	0.958599438	0.958599438	1.028113827	1.064370182	0.991029563	0.994470169	0.996540263	1.040300267	1.022428531	1.091263877	1.072516617
'A4'	1.046810282	1.008352455	0.998614666	1.057018041	1.000693387	1.047536127	1.006257823	0.919550046	1.00765376	0.974679631	1.051901779	1.019597683	0.998614666	1.0132569	0.960594864	0.999307093	0.936272247	0.987600861
'AAAS'	1.020304659	1.015366101	0.971980988	1.011152081	1.009751298	1.068805991	0.985549337	0.925946023	1.038859103	1.128964405	1.114193651	1.118837101	1.021012126	0.971980988	1.116512962	0.937571096	0.936921447	0.986916546
'AAGAB'	1.021720083	1.097331938	0.962594443	1.011853201	1.0181852	1.068805991	1.048989328	0.985549337	1.085981856	1.119612889	1.052631155	1.043188594	1.033830736	1.020304659	1.118061851	0.957935218	1.056285625	1.050444544
'AAMDC'	1.000693387	1.00486382	0.966606097	1.137605228	1.096571589	1.064370182	0.986916546	0.946057647	1.054822317	1.114966219	1.171210181	1.121943481	0.996540263	1.042465761	1.068805991	1.039579435	1.159899655	1.134455485
'AASD1'	0.988970916	0.976708529	1	1.089752112	1.052631155	1.015366101	1.024556823	0.963929808	0.986916546	1.00556058	1.01395948	1.067325338	0.977385766	0.988970916	1.038859103	0.988285652	1.100378609	1.034547582
'AATF'	0.980779004	1	1.043911927	1.136029265	1.135242102	1.0238469	0.943438251	0.937571096	0.988285652	0.962594443	0.973329374	1.021720083	0.979420298	1.024556823	1.0238469	1.009051634	1.04608494	1.021720083
'ABCB7'	0.915733686	1.00556058	0.932386486	1.032398535	1.020304659	1.059952783	1.283425898	1.149494848	1.337927555	1.194163187	0.878430468	1.002776436	0.937571096	0.968618189	1.01395948	1.089752112	1.121166078	1.060687741
'ABCB8'	1.046810282	0.959264119	1.00556058	0.997922719	1.168777249	1.011152081	1.112650121	0.936921447	0.982820599	1.04608494	0.995849753	1.019597683	0.992404375	0.953959551	0.784584098	1.071030823	1.022428531	1.008352455
'ABCCB'	1.071773463	1.227735684	1.283425898	1.043188594	0.866336856	0.932386486	1.002776436	0.906261938	0.912565489	0.955282936	0.955282936	0.956608158	0.944747041	0.969289817	1.041743429	1.029540083	1.060687741	1.035982764
'ABCD1'	1.059218335	0.976031761	0.888842681	0.998614666	1.086734863	1.036701101	1.054091423	0.984866443	1.07997656	0.942131274	0.979420298	0.961927455	1.049716684	1.069547088	0.93109482	1.025978145	0.993092495	1.036701101
'ABCE1'	0.989656656	1.038139271	1.018891197	0.933679945	0.895025071	1.018891197	0.981459064	0.950659101	0.959929261	1.012554807	1.078480432	1.029540083	1.00765376	0.997231251	1.031683179	0.999307093	1.015366101	0.990342872
