,Kinase
220,Hs_MISR2.AA
221,Hs_OSR1.AA
222,Hs_STLK3.AA
223,Hs_STLK5.AA
224,Hs_STLK6.AA
225,Hs_MAP3K5.AA
226,Hs_MAP3K7.AA
227,Hs_MAP3K6.AA
228,Hs_TAO1.AA
229,Hs_TAO3.AA
230,Hs_TAO2.AA
231,Hs_MAP3K2.AA
232,Hs_MAP3K3.AA
233,Hs_KHS1.AA
234,Hs_KHS2.AA
235,Hs_GCK.AA
236,Hs_HPK1.AA
237,Hs_PAK4.AA
238,Hs_PAK5.AA
239,Hs_PAK6.AA
240,Hs_MST1.AA
241,Hs_MST2.AA
242,Hs_MST3.AA
243,Hs_MST4.AA
244,Hs_YSK1.AA
245,Hs_HGK.AA
246,Hs_TNIK.AA
247,Hs_MINK.AA
248,Hs_PAK2.AA
249,Hs_PAK3.AA
250,Hs_PAK1.AA
251,Hs_NRK.AA
252,Hs_LOK.AA
253,Hs_SLK.AA
254,Hs_COT.AA
255,Hs_MYO3A.AA
256,Hs_MYO3B.AA
257,Hs_MAP2K1.AA
258,Hs_MAP2K2.AA
259,Hs_MAP2K5.AA
260,Hs_MAP2K3.AA
261,Hs_MAP2K6.AA
262,Hs_MAP2K4.AA
263,Hs_MAP2K7.AA
264,Hs_Wee1.AA
265,Hs_Wee1B.AA
266,Hs_PBK.AA
267,Hs_MLKL.AA
268,Hs_MYT1.AA
269,Hs_NIK.AA
270,Hs_NEK10.AA
271,Hs_PRPK.AA
272,Hs_Trb1.AA
273,Hs_Trb2.AA
274,Hs_Trb3.AA
275,Hs_SgK495.AA
276,Hs_CLIK1.AA
277,Hs_CLIK1L.AA
278,Hs_IRE1.AA
279,Hs_IRE2.AA
280,Hs_GCN2.AA
281,Hs_HRI.AA
282,Hs_CK1a.AA
283,Hs_CK1a2.AA
284,Hs_CK1d.AA
285,Hs_CK1e.AA
286,Hs_CK1g1.AA
287,Hs_CK1g3.AA
288,Hs_CK1g2.AA
289,Hs_TTBK1.AA
290,Hs_TTBK2.AA
291,Hs_VRK1.AA
292,Hs_VRK2.AA
293,Hs_VRK3.AA
294,Hs_IKKa.AA
295,Hs_IKKb.AA
296,Hs_LIMK1.AA
297,Hs_LIMK2.AA
298,Hs_TAK1.AA
299,Hs_HH498.AA
300,Hs_RET.AA
301,Hs_IKKe.AA
302,Hs_TBK1.AA
303,Hs_TIE1.AA
304,Hs_TIE2.AA
305,Hs_ABL1.AA
306,Hs_ABL2.AA
307,Hs_FGR.AA
308,Hs_FYN.AA
309,Hs_SRC.AA
310,Hs_YES.AA
311,Hs_HCK.AA
312,Hs_LYN.AA
313,Hs_LCK.AA
314,Hs_BLK.AA
315,Hs_FRK.AA
316,Hs_BRK.AA
317,Hs_SRM.AA
318,Hs_CSK.AA
319,Hs_CTK.AA
320,Hs_FER.AA
321,Hs_FES.AA
322,Hs_SYK.AA
323,Hs_ZAP70.AA
324,Hs_ITK.AA
325,Hs_TEC.AA
326,Hs_TXK.AA
327,Hs_BTK.AA
328,Hs_BMX.AA
329,Hs_RIPK3.AA
330,Hs_FGFR1.AA
331,Hs_FGFR2.AA
332,Hs_FGFR3.AA
333,Hs_FGFR4.AA
334,Hs_FLT4.AA
335,Hs_KDR.AA
336,Hs_FLT1.AA
337,Hs_FMS.AA
338,Hs_KIT.AA
339,Hs_PDGFRa.AA
340,Hs_PDGFRb.AA
341,Hs_FLT3.AA
342,Hs_ALK.AA
343,Hs_LTK.AA
344,Hs_TRKB.AA
345,Hs_TRKC.AA
346,Hs_TRKA.AA
347,Hs_DDR1.AA
348,Hs_DDR2.AA
349,Hs_ZAK.AA
350,Hs_ROR1.AA
351,Hs_ROR2.AA
352,Hs_MUSK.AA
353,Hs_RIPK2.AA
354,Hs_SuRTK106.AA
355,Hs_CCK4.AA
356,Hs_AXL.AA
357,Hs_MER.AA
358,Hs_TYRO3.AA
359,Hs_MET.AA
360,Hs_RON.AA
361,Hs_RYK.AA
362,Hs_IGF1R.AA
363,Hs_INSR.AA
364,Hs_IRR.AA
365,Hs_RIPK1.AA
366,Hs_ILK.AA
367,Hs_KSR1.AA
368,Hs_KSR2.AA
369,Hs_ARAF.AA
370,Hs_RAF1.AA
371,Hs_BRAF.AA
372,Hs_NEK11.AA
373,Hs_IRAK4.AA
374,Hs_IRAK1.AA
375,Hs_IRAK3.AA
376,Hs_IRAK2.AA
377,Hs_EphA1.AA
378,Hs_EphA2.AA
379,Hs_EphA3.AA
380,Hs_EphA5.AA
381,Hs_EphA4.AA
382,Hs_EphA7.AA
383,Hs_EphA6.AA
384,Hs_EphA8.AA
385,Hs_EphB1.AA
386,Hs_EphB2.AA
387,Hs_EphB3.AA
388,Hs_EphB4.AA
389,Hs_EphA10.AA
390,Hs_EphB6.AA
391,Hs_EGFR.AA
392,Hs_ErbB4.AA
393,Hs_ErbB2.AA
394,Hs_ErbB3.AA
395,Hs_SgK196.AA
396,Hs_FAK.AA
397,Hs_PYK2.AA
398,Hs_JAK1.AA
399,Hs_TYK2.AA
400,Hs_JAK2.AA
401,Hs_JAK3.AA
402,Hs_PINK1.AA
403,Hs_BLVRA.AA
404,Hs_LRRK1.AA
405,Hs_ANPa.AA
406,Hs_ANPb.AA
407,Hs_CYGD.AA
408,Hs_CYGF.AA
409,Hs_HSER.AA
410,Hs_RNAseL.AA
411,Hs_MSSK1.AA
412,Hs_SRPK2.AA
413,Hs_SRPK1.AA
414,Hs_CDC7.AA
415,Hs_Trad.AA
416,Hs_Trio.AA
417,Hs_TLK1.AA
418,Hs_TLK2.AA
419,Hs_Slob.AA
420,Hs_GTF2F1.AA
421,Hs_ACK.AA
422,Hs_TNK1.AA
423,Hs_FASTK.AA
424,Hs_LRRK2.AA
425,Hs_ADCK2.AA
426,Hs_SPEG.AA
427,Hs_LMR1.AA
428,Hs_LMR2.AA
429,Hs_LMR3.AA
430,Hs_Obscn.AA
431,Hs_SgK493.AA
432,Hs_G11.AA
433,Hs_TIF1b.AA
434,Hs_RIOK2.AA
435,Hs_AlphaK3.AA
436,Hs_DNAPK.AA
437,Hs_FJB1.AA
438,Hs_FAM198A.AA
439,Hs_FAM198B.AA
440,Hs_NME7a.AA
441,Hs_SgK307.AA
442,Hs_SgK071.AA
443,Hs_MAP3K1.AA
444,Hs_SgK223.AA
445,Hs_ATR.AA
446,Hs_ROS.AA
447,Hs_SCYL2.AA
448,Hs_MAP3K4.AA
449,Hs_TBCK.AA
450,Hs_TESK1.AA
451,Hs_TESK2.AA
452,Hs_SCYL1.AA
453,Hs_BAZ1A.AA
454,Hs_TTN.AA
455,Hs_PEK.AA
456,Hs_MASTL.AA
457,Hs_NME6.AA
458,Hs_PAN3.AA
459,Hs_Col4A3BP.AA
460,Hs_GAK.AA
461,Hs_NME5.AA
462,Hs_SMG1.AA
463,Hs_BAZ1B.AA
464,Hs_RIOK1.AA
465,Hs_RIOK3.AA
466,Hs_NRBP1.AA
467,Hs_NRBP2.AA
468,Hs_Wnk1.AA
469,Hs_Wnk4.AA
470,Hs_Wnk3.AA
471,Hs_Wnk2.AA
472,Hs_BRD2.AA
473,Hs_BRD3.AA
474,Hs_BRDT.AA
475,Hs_BRD4.AA
476,Hs_TIF1a.AA
477,Hs_TIF1g.AA
478,Hs_TIF1D.AA
479,Hs_PIK3R4.AA
480,Hs_BUBR1.AA
481,Hs_MRCKa.AA
482,Hs_MRCKb.AA
